ChannelNumber N(E) W P G(Z,W) Value Energy(MeV) Momentum(MeV/c) N(p)
208.000000 60.000000 2.259153 2.025777 19.636300 0.773749 0.643427 0.643427 60.000000
209.000000 43.000000 2.265207 2.032527 19.614580 0.653637 0.646521 0.646521 43.000000
210.000000 43.000000 2.271260 2.039270 19.592961 0.652255 0.649614 0.649614 43.000000
211.000000 46.000000 2.277313 2.046010 19.571437 0.673201 0.652707 0.652707 46.000000
212.000000 33.000000 2.283368 2.052747 19.549998 0.568994 0.655801 0.655801 33.000000
213.000000 30.000000 2.289421 2.059477 19.528659 0.541376 0.658894 0.658894 30.000000
214.000000 31.000000 2.295476 2.066206 19.507403 0.549172 0.661988 0.661988 31.000000
215.000000 25.000000 2.301528 2.072929 19.486245 0.492141 0.665081 0.665081 25.000000
216.000000 34.000000 2.307581 2.079647 19.465177 0.572734 0.668174 0.668174 34.000000
217.000000 27.000000 2.313636 2.086363 19.444190 0.509321 0.671268 0.671268 27.000000
218.000000 24.000000 2.319689 2.093073 19.423298 0.479197 0.674361 0.674361 24.000000
219.000000 18.000000 2.325744 2.099782 19.402485 0.414139 0.677455 0.677455 18.000000
220.000000 20.000000 2.331796 2.106484 19.381766 0.435640 0.680548 0.680548 20.000000
221.000000 13.000000 2.337849 2.113182 19.361131 0.350501 0.683641 0.683641 13.000000
222.000000 6.000000 2.343904 2.119879 19.340574 0.237630 0.686735 0.686735 6.000000
223.000000 6.000000 2.349957 2.126569 19.320107 0.237143 0.689828 0.689828 6.000000
224.000000 6.000000 2.356012 2.133258 19.299716 0.236659 0.692922 0.692922 6.000000
225.000000 9.000000 2.362065 2.139941 19.279413 0.289256 0.696015 0.696015 9.000000
226.000000 9.000000 2.368117 2.146621 19.259191 0.288668 0.699108 0.699108 9.000000
227.000000 10.000000 2.374172 2.153298 19.239042 0.303666 0.702202 0.702202 10.000000
228.000000 6.000000 2.380225 2.159970 19.218979 0.234743 0.705295 0.705295 6.000000
229.000000 6.000000 2.386280 2.166641 19.198988 0.234269 0.708389 0.708389 6.000000
230.000000 3.000000 2.392333 2.173305 19.179081 0.165320 0.711482 0.711482 3.000000
231.000000 6.000000 2.398386 2.179966 19.159250 0.233328 0.714575 0.714575 6.000000
232.000000 2.000000 2.404440 2.186626 19.139489 0.134442 0.717669 0.717669 2.000000
233.000000 0.000000 2.410493 2.193280 19.119810 0.000000 0.720762 0.720762 0.000000
234.000000 4.000000 2.416548 2.199933 19.100198 0.189372 0.723856 0.723856 4.000000
235.000000 6.000000 2.422601 2.206580 19.080666 0.231471 0.726949 0.726949 6.000000
236.000000 3.000000 2.428654 2.213224 19.061208 0.163350 0.730042 0.730042 3.000000
237.000000 2.000000 2.434708 2.219866 19.041816 0.133111 0.733136 0.733136 2.000000
238.000000 0.000000 2.440761 2.226503 19.022504 0.000000 0.736229 0.736229 0.000000
239.000000 0.000000 2.446816 2.233139 19.003258 0.000000 0.739323 0.739323 0.000000
240.000000 2.000000 2.452869 2.239769 18.984091 0.132326 0.742416 0.742416 2.000000
241.000000 2.000000 2.458922 2.246396 18.964996 0.132067 0.745509 0.745509 2.000000
242.000000 1.000000 2.464977 2.253022 18.945967 0.093203 0.748603 0.748603 1.000000
243.000000 0.000000 2.471029 2.259643 18.927016 0.000000 0.751696 0.751696 0.000000
244.000000 0.000000 2.477084 2.266263 18.908131 0.000000 0.754790 0.754790 0.000000
245.000000 1.000000 2.483137 2.272877 18.889324 0.092660 0.757883 0.757883 1.000000
246.000000 0.000000 2.489190 2.279488 18.870588 0.000000 0.760976 0.760976 0.000000
247.000000 1.000000 2.495245 2.286098 18.851917 0.092302 0.764070 0.764070 1.000000
248.000000 0.000000 2.501297 2.292703 18.833323 0.000000 0.767163 0.767163 0.000000
249.000000 0.000000 2.507352 2.299308 18.814794 0.000000 0.770257 0.770257 0.000000
250.000000 2.000000 2.513405 2.305907 18.796342 0.129782 0.773350 0.773350 2.000000
251.000000 1.000000 2.519458 2.312503 18.777960 0.091594 0.776443 0.776443 1.000000
252.000000 0.000000 2.525513 2.319098 18.759643 0.000000 0.779537 0.779537 0.000000
253.000000 0.000000 2.531566 2.325688 18.741402 0.000000 0.782630 0.782630 0.000000
254.000000 0.000000 2.537620 2.332277 18.723225 0.000000 0.785724 0.785724 0.000000
255.000000 0.000000 2.543673 2.338862 18.705124 0.000000 0.788817 0.788817 0.000000
256.000000 0.000000 2.549726 2.345443 18.687093 0.000000 0.791910 0.791910 0.000000
257.000000 0.000000 2.555781 2.352024 18.669125 0.000000 0.795004 0.795004 0.000000
258.000000 2.000000 2.561834 2.358600 18.651232 0.127823 0.798097 0.798097 2.000000
259.000000 0.000000 2.567888 2.365175 18.633404 0.000000 0.801191 0.801191 0.000000
260.000000 1.000000 2.573941 2.371745 18.615649 0.090046 0.804284 0.804284 1.000000
261.000000 0.000000 2.579994 2.378312 18.597964 0.000000 0.807377 0.807377 0.000000
262.000000 0.000000 2.586049 2.384879 18.580342 0.000000 0.810471 0.810471 0.000000
263.000000 0.000000 2.592102 2.391441 18.562795 0.000000 0.813564 0.813564 0.000000
264.000000 1.000000 2.598157 2.398003 18.545310 0.089375 0.816658 0.816658 1.000000
265.000000 0.000000 2.604209 2.404560 18.527899 0.000000 0.819751 0.819751 0.000000
266.000000 0.000000 2.610262 2.411114 18.510555 0.000000 0.822844 0.822844 0.000000
267.000000 3.000000 2.616317 2.417667 18.493272 0.153944 0.825938 0.825938 3.000000
268.000000 0.000000 2.622370 2.424216 18.476057 0.000000 0.829031 0.829031 0.000000
269.000000 1.000000 2.628425 2.430765 18.458900 0.088553 0.832125 0.832125 1.000000
270.000000 1.000000 2.634477 2.437308 18.441809 0.088390 0.835218 0.835218 1.000000
271.000000 0.000000 2.640530 2.443850 18.424777 0.000000 0.838311 0.838311 0.000000
272.000000 0.000000 2.646585 2.450390 18.407797 0.000000 0.841405 0.841405 0.000000
273.000000 3.000000 2.652638 2.456927 18.390879 0.152258 0.844498 0.844498 3.000000
274.000000 1.000000 2.658693 2.463462 18.374010 0.087747 0.847592 0.847592 1.000000
275.000000 1.000000 2.664746 2.469994 18.357199 0.087587 0.850685 0.850685 1.000000
276.000000 1.000000 2.670798 2.476523 18.340439 0.087429 0.853778 0.853778 1.000000
277.000000 0.000000 2.676853 2.483051 18.323723 0.000000 0.856872 0.856872 0.000000
278.000000 1.000000 2.682906 2.489575 18.307061 0.087113 0.859965 0.859965 1.000000
279.000000 1.000000 2.688961 2.496099 18.290440 0.086957 0.863059 0.863059 1.000000
280.000000 0.000000 2.695014 2.502618 18.273869 0.000000 0.866152 0.866152 0.000000
